Name,Phone_Number,Address,Closed_Days,Opening_Hours,Wall_Power,Americano_Price,Mood,Note
12th Avenue,0507-1348-5860,(04057) 서울 마포구 신촌로12길 25,목요일,"10:00~19:00(금 10:00~20:00, 토 13:00~20:00, 일 13:00~19:00)",1,3500,1,
7236커피바,0507-1348-6725,(03787) 서울 서대문구 신촌로 57 3층 301호,화요일,15:00~24:00(12:00~18:00),0,5500,1,
79파운야드 마포서강대점,02-711-7279,(04096) 서울 마포구 광성로6길 10 1층,0,10:00~22:30,1,4500,0,
가빈카페,0507-1362-0244,(03776) 서울 서대문구 명물길 49 2층,0,11:00~22:00,1,3500,0,
갸또미르,0507-1333-0092,(04109) 서울 마포구 백범로 30,0,07:00~22:00,0,4500,-1,불가능(빵집)
고르드,02-365-9566,(03777) 서울 서대문구 명물길 42 우성빌딩,0,09:00~22:30,1,4000,1,
공차 서강대점,02-715-8807,(04107) 서울 마포구 백범로 35 곤자가홀,"목요일, 금요일",10:00~18:00(토일 10:00~19:00),1,3700,1,
공차 신촌연세로점,02-3143-0404,(03788) 서울 서대문구 연세로 27,0,12:00~22:00,1,3700,2,
공차 현대백화점 신촌점,02-3145-3021,(03789) 서울 서대문구 신촌로 83 현대백화점신촌점 B1,0,10:30~20:00(금토일 10:30~20:30),0,3700,2,
구름빵베이커리,010-5173-0603,(04137) 서울 마포구 숭문길 65,일요일,07:30~21:00,0,2000,-1,TAKE-OUT
국민우유집 노고산짐,050-6672-8997,(04057) 서울 마포구 신촌로12길 23 1층,0,10:30~02:00,0,1500,-1,TAKE-OUT
그냥아무거나 신촌본점,0507-1459-9973,(04067) 서울 마포구 신촌로 82 1층 103호 그냥아무거나,0,09:00~03:30,0,4500,-1,TAKE-OUT
그라찌에 서강대학교점,070-8860-3275,(04107) 서울 마포구 백범로 35 서강대학교 베르크만스우정원 BW관 2층,"토요일, 일요일, 공휴일",08:00~17:00,1,2700,1,
기호,0507-1333-7155,(04109) 서울 마포구 서강로16길 72 1층,0,11:00~22:00,1,5000,2,
까페달콤,02-2088-4339,(04138) 서울 마포구 숭문길 44,0,10:30~23:00,0,1900,1,
나뚜루 마이케이크하우스 신촌점,02-3141-6855,(03789) 서울 서대문구 신촌로 87,0,11:00~22:00(토 11:00~23:00),1,3500,1,
누아네,02-712-9231,"(04149) 서울 마포구 백범로 112-1 1층, 2층",0,08:00~21:00,1,4000,0,
뉴 욕쟁이 디저트 서강대점,0507-1340-3805,(04136) 서울 마포구 대흥로20안길 11,0,08:30~새벽01:00(토일 12:00~새벽01:00),0,4100,-1,TAKE-OUT
니니네,0507-1332-1827,(04096) 서울 마포구 광성로6길 30 1층,"일요일, 월요일, 첫째,셋째주 화요일",12:00~20:00,0,3500,0,
단코,02-322-0807,(04057) 서울 마포구 신촌로14길 19 1층,0,"10:00~19:00(토 10:00~18:00, 일 12:00~18:00)",0,2500,1,
달쏘,02-376-7655,(04111) 서울 마포구 서강대길 40 마포자이2차아파트 상가동 104호,일요일,08:30~19:00(토 09:00~17:00),1,4300,1,
댓커피,0507-1356-7188,(04103) 서울 마포구 백범로1길 60,0,11:00~19:00,0,4000,1,
더나더나,0507-1321-1212,(04102) 서울 마포구 고산길 31,"일요일, 월요일",12:00~17:00,0,3500,2,
더벤티 대흥역점,02-6012-1243,(04136) 서울 마포구 백범로 105 1층,0,07:30~22:00(토일 09:00~21:00),1,2300,1,
더벤티 신촌점,02-364-8368,(03780) 서울 서대문구 신촌로 125,0,08:00~21:00,1,1800,1,
더브레드블루 신촌본점,0507-1425-0723,(04057) 서울 마포구 신촌로12다길 3 1층,0,10:00~21:00(일 09:00~21:00),1,3000,1,
더요고 그릭요거트&베이글,070-7655-4177,(04149) 서울 마포구 백범로 112 1층,일요일,11:00~21:00(토 13:00~20:00),1,1900,0,
더크레딧,010-4108-3544,(04096) 서울 마포구 광성로6길 12 1층,0,11:00~22:00(화 11:00~14:00),1,4500,0,
독수리다방,02-363-1222,(03776) 서울 서대문구 연세로 36 독수리빌딩 8층,0,11:00~24:00,1,5800,2,
"두올두낫 do,or do not",0507-1354-9340,(04149) 서울 마포구 백범로16길 8-5 1층,일요일,12:00~21:00,1,4500,0,
디어모먼트,0507-1348-5139,(04149) 서울 마포구 대흥로 80-34 2층,수요일,11:00~22:00,0,4500,1,브런치카페
뚜레쥬르 신촌로터리점,0507-1353-0405,"(04058) 서울 마포구 서강로 137 101호, 102호",0,07:00~22:00,1,2500,2,빵집
띵크커피 현대백화점 신촌점,02-3145-2410,(03789) 서울 서대문구 신촌로 83 현대백화점 신촌점 4층,0,10:30~20:00(금토일 10:30~20:30),0,5000,2,
라뚜셩트 현대백화점 신촌점,02-3145-2233,(03789) 서울 서대문구 신촌로 83,0,10:30~20:00(금토일 10:30~20:30),0,4100,2,
랑데자뷰 유플렉스신촌점,02-3145-1522,(03789) 서울 서대문구 연세로 13 유플렉스 2층,0,10:30~22:00,1,5500,2,
리버트리커피,010-5637-1141,(03780) 서울 서대문구 신촌로 141,0,10:00~22:00,1,3900,0,
마시그래이 신촌점,02-333-0600,(03788) 서울 서대문구 연세로7안길 2,0,09:00~23:00(토일 10:00~23:00),0,1500,-1,TAKE-OUT
마이시크릿메이트,0507-1449-2788,(03777) 서울 서대문구 연세로4길 47,0,12:00~22:00,1,5500,1,
마침내카페 크로와플,0507-1386-5569,(04110) 서울 마포구 백범로 66,0,08:00~22:00,1,1500,1,
메가커피 대흥역점,02-701-5541,(04149) 서울 마포구 백범로 102,0,07:30~22:00,1,2000,1,
메가커피 신촌점,02-336-6051,"(03789) 서울 서대문구 연세로5가길 8-6 1,2층",0,08:00~23:00(일 09:00~22:00),1,1500,1,
메머드익스프레스 신촌점,02-6080-3565,(03789) 서울 서대문구 연세로5길 38,0,08:00~21:00,0,900,-1,TAKE-OUT
면곡당 신촌점,0507-1308-2447,(03789) 서울 서대문구 신촌로 73 1층 면곡당 신촌점,0,08:40~19:00(토 09:00~20:00),0,2500,-1,TAKE-OUT
모음,010-5542-2484,"(03780) 서울 서대문구 신촌역로 11 1층, 2층",0,11:00~22:00,1,4000,0,
몰리스,02-6015-2442,(03787) 서울 서대문구 연세로5다길 22-7,월요일,12:00~22:00,1,3500,0,
몽듀,070-7795-7636,(04108) 서울 마포구 고산길 68,일요일,11:00~22:00(토수금 11:00~19:00),0,2000,1,
문베어,0507-1323-9488,(03777) 서울 서대문구 명물길 66 1층 cafe moonbear,0,11:00~23:00,1,4300,0,
미네르바,02-3147-1327,(03777) 서울 서대문구 명물길 18 2F,일요일,10:30~21:30,1,5500,1,
미인브레드,02-701-1004,(04149) 서울 마포구 백범로 96 1층,0,07:30~23:00(일 08:00~21:00),0,1500,-1,불가능(빵집)
바나프레소 신촌로터리점,070-8998-8973,(04058) 서울 마포구 서강로 137,0,07:00~21:00,1,2500,1,
바나프레소 신촌점,070-8998-8981,(03777) 서울 서대문구 명물길 14 전층,0,07:00~23:00,1,2500,1,
배스킨라빈스 서강신수,02-701-0902,(04111) 서울 마포구 백범로 71,0,10:00~23:00,1,3800,1,
배스킨라빈스 CAFE31 신촌,02-392-7774,(03777) 서울 서대문구 명물길 38 용성경정비,0,10:00~23:00(금토 10:00~24:00),1,3800,2,
백미당 현대백화점 신촌점,02-3145-3073,(03789) 서울 서대문구 신촌로 83,0,10:30~20:00(금토일 10:30~20:30),0,4100,2,
버블티킹 신촌점,02-364-2999,(03776) 서울 서대문구 명물길 19 경오빌딩,0,11:00~23:00,0,3000,-1,TAKE-OUT
베브릿지 서강대점,02-719-9999,(04108) 서울 마포구 백범로 19,0,08:30~20:00(토일 11:00~18:00),1,변동,0,
